f1_state,f2_state,winner,f1_points,f2_points
Feint,Defend,F1,3,0
Feint,Defend,F1,2,0
Feint,Defend,F1,3,0
Feint,Defend,F1,2,0
Feint,Defend,F1,3,0
Feint,Defend,F1,3,0
Feint,Defend,F1,2,0
Feint,Defend,F2,0,1
Feint,Defend,F2,0,2
Feint,Defend,None,0,0
Attack,Defend,F1,2,0
Attack,Defend,F1,1,0
Attack,Defend,F1,2,0
Attack,Defend,F1,2,0
Attack,Defend,F1,1,0
Attack,Defend,F1,3,0
Attack,Defend,F2,0,1
Attack,Defend,F2,0,1
Attack,Defend,F2,0,2
Attack,Defend,Double,1,1
Defend,Attack,F1,1,0
Defend,Attack,F1,1,0
Defend,Attack,F1,1,0
Defend,Attack,F1,1,0
Defend,Attack,F1,1,0
Defend,Attack,F2,0,2
Defend,Attack,F2,0,1
Defend,Attack,None,0,0
Feint,Attack,F2,0,2
Feint,Attack,F2,0,1
Feint,Attack,F2,0,2
Feint,Attack,F2,0,1
Feint,Attack,F1,2,0
Feint,Attack,F1,1,0
Feint,Attack,F1,2,0
Attack,Feint,F1,2,0
Attack,Feint,F1,2,0
Attack,Feint,F1,2,0
Attack,Feint,F1,2,0
Attack,Feint,F2,0,1
Attack,Feint,Double,1,1
Disengage,Attack,F2,0,2
Disengage,Attack,F2,0,1
Disengage,Attack,F2,0,2
Disengage,Attack,F2,0,1
Disengage,Attack,F1,1,0
Disengage,Attack,None,0,0
Attack,Attack,Double,1,1
Attack,Attack,Double,2,2
Attack,Attack,F1,2,0
Attack,Attack,F1,1,0
Attack,Attack,F2,0,2
Disengage,Disengage,None,0,0
Disengage,Disengage,None,0,0
Disengage,Disengage,None,0,0
Disengage,Disengage,Double,1,1
Feint,Feint,Double,1,1
Disengage,Defend,F1,1,0
Defend,Defend,None,0,0
Defend,Feint,F1,1,0
